Name,Website,http://kspress.com/,wikipedia,phone,fax,Address,editor,twitter,facebook,contact page,user forum
"Abilene Reflector-Chronicle, The",http://abilene-rc.com,http://kspress.com/viewRecord.php?recid=1002,https://en.wikipedia.org/wiki/The_Abilene_Reflector-Chronicle,785-263-1000,785-263-1645,"303 N Broadway Abilene, Kansas  67410-0008","Tim Horan
Email        editor@abilene-rc.com",https://twitter.com/AbileneRC1,https://www.facebook.com/AbileneRC,http://www.abilene-rc.com/1communityindexbody.lasso?-token.miscgetlppage=easyaddletter1.lasso,
Active Aging,,http://kspress.com/viewRecord.php?recid=587,,,,,,,,,
Advocate,http://advocate.kckcc.edu/Pages/default.aspx,http://kspress.com/viewRecord.php?recid=2715,"https://en.wikipedia.org/wiki/Advocate,_Student_Newspaper",913-288-7229,Fax: 913-288-7617 (Please call the news desk first),"The Advocate
7250 State Ave.
Kansas City, KS 66112",advocate@kckcc.edu,,,,
Advocate of Phillips County,???,http://kspress.com/viewRecord.php?recid=1746,,(785) 543-2349,,,,,,,
Anderson County Advocate,,http://kspress.com/viewRecord.php?recid=1414,,,,,,,,,
Anderson County Review,,http://kspress.com/viewRecord.php?recid=259,,,,,,,,,
"Andover American, The",http://andoveramerican.com,,,,,"Andover, Kansas",,,,,
"Andover Journal-Advocate, The",http://andoverjournal.com,,,,,"Andover, Kansas",,,,,
"Anthony Republican, The",http://anthonyrepublicannews.com,http://kspress.com/viewRecord.php?recid=54,,,,"Anthony, Kansas",,,,,
Ark Valley News,,http://kspress.com/viewRecord.php?recid=55,,,,,,,,,
"Arkansas City Traveler, The",http://www.arkcity.net/,http://kspress.com/viewRecord.php?recid=56,https://en.wikipedia.org/wiki/The_Arkansas_City_Traveler,,,,,,,,
"Atchison Daily Globe - Atchison,KS",www.atchisondailyglobe.com,http://kspress.com/viewRecord.php?recid=57,https://en.wikipedia.org/wiki/Atchison_Daily_Globe,(913) 367-0583,(913) 367-7531,"308 Commercial Street Atchison, KS 66002",Joe Warren <joewarren@npgco.com>,https://twitter.com/AtchisonGlobe/atchison-globe,https://www.facebook.com/pages/Atchison-Globe/81864779191,https://atchisonglobenow-dot-com.bloxcms-ny1.com/site/forms/online_services/submit_news/,
Atchison Globe/Hiawatha World Combo,,http://kspress.com/viewRecord.php?recid=3521,,,,,,,,,
Attica Independent,,http://kspress.com/viewRecord.php?recid=33,,,,,,,,,
Augusta Daily Gazette,http://www.butlercountytimesgazette.com/,,https://en.wikipedia.org/wiki/Augusta_Daily_Gazette,,,"Augusta, Kansas",,,,,
Baker Orange,,http://kspress.com/viewRecord.php?recid=1338,,,,,,,,,
"Baldwin City Signal - Baldwin City,KS",http://signal.baldwincity.com/,http://kspress.com/viewRecord.php?recid=1586,https://en.wikipedia.org/wiki/Baldwin_City_Signal,Phone: (785) 594-7080,Fax: (785) 594-7084,"Address: 703 High Street Baldwin City, KS 66006",jmyrick@baldwincity.com : editor@baldwincity.com,https://twitter.com/baldwincity,https://www.facebook.com/baldwincity,http://signal.baldwincity.com/submit/letter/,http://signal.baldwincity.com/weblogs/
Basehore Sentinal,http://basehorinfo.com,http://kspress.com/viewRecord.php?recid=64,https://en.wikipedia.org/wiki/Basehore_Sentinal,913-845-2222,,"Basehor, Kansas","Nico Roesler, staff writer. E-mail: nroesler@theworldco.info",,,http://www.basehorinfo.com/about/contact/,http://www.basehorinfo.com/accounts/login/?next=/submit/letter/
Belle Plaine News,,http://kspress.com/viewRecord.php?recid=66,,,,,,,,,
Belleville Telescope,http://thebellevilletelescope.com/,http://kspress.com/viewRecord.php?recid=67,https://en.wikipedia.org/wiki/Belleville_Telescope,785-527-2244,785-527-2225,"1805 N Street Belleville, Kan. 66935",Deb Hadachek Editor dhadachek@gmail.com,https://twitter.com/Telescope_News,https://www.facebook.com/pages/The-Belleville-Telescope/126240344112700,,http://thebellevilletelescope.com/content/submit-article-submission
Beloit Call,,http://kspress.com/viewRecord.php?recid=68,,(800) 794-3913 785-738-3537,Fax 785-738-6442,"119 E Main St
Beloit, Kansas 67420
http://www.beloitks.org/","Rick Horn
Email beloitcall@nckcn.com",,,,
Best Times,,http://kspress.com/viewRecord.php?recid=588,,,,,,,,,
Bethel Collegian,,http://kspress.com/viewRecord.php?recid=2914,,,,,,,,,
Bird City Times,,http://kspress.com/viewRecord.php?recid=69,,,,,,,,,
Blue Rapids Free Press,,http://kspress.com/viewRecord.php?recid=3328,,,,,,,,,
Bonner Springs Chieftain,http://bonnersprings.com,http://kspress.com/viewRecord.php?recid=3281,,,,"Bonner Springs, Kansas",,,,,
Buccaneer,,http://kspress.com/viewRecord.php?recid=1419,,,,,,,,,
Bucklin Banner,,http://kspress.com/viewRecord.php?recid=73,,,,,,,,,
Bulletin,http://esubulletin.com/,http://kspress.com/viewRecord.php?recid=949,,,,Emporia State University,,,,,
Butler County Times-Gazette,,http://kspress.com/viewRecord.php?recid=3526,,,,,,,,,
Caldwell Messenger,,http://kspress.com/viewRecord.php?recid=37,,,,,,,,,
Campus,http://www.oucampus.org/,,,,,Ottawa University,,,,,
Campus Ledger,www.campusledger.com,http://kspress.com/viewRecord.php?recid=2723,,,,,,,,,
Cawker City Ledger,,http://kspress.com/viewRecord.php?recid=78,,,,,,,,,
Cedar Vale Lookout,,http://kspress.com/viewRecord.php?recid=1540,,,,,,,,,
Change_of_Heart_(street_paper),??,,https://en.wikipedia.org/wiki/Change_of_Heart_(street_paper),,,,,,,,
Chanute Tribune ,http://chanute.com,http://kspress.com/viewRecord.php?recid=1168,,,,"Chanute, Kansas",,,,,
Chapman & Enterprise News-Times,,http://kspress.com/viewRecord.php?recid=1880,,,,,,,,,
Chase County Leader-News,,http://kspress.com/viewRecord.php?recid=1020,,,,,,,,,
Cherokee County News-Advocate,,http://kspress.com/viewRecord.php?recid=99,,,,,,,,,
Chronicle Christian News,,http://kspress.com/viewRecord.php?recid=3037,,,,,,,,,
Cimarron Jacksonian,,http://kspress.com/viewRecord.php?recid=87,,,,,,,,,
Circuit,,http://kspress.com/viewRecord.php?recid=1340,,,,,,,,,
Clarion,,http://kspress.com/viewRecord.php?recid=338,,,,,,,,,
Clark County Clipper,,http://kspress.com/viewRecord.php?recid=88,,,,,,,,,
Clark County Gazette,,http://kspress.com/viewRecord.php?recid=3154,,,,,,,,,
Clay Center Dispatch,http://zwire.com/site/news.cfm?brd=1160,http://kspress.com/viewRecord.php?recid=89,,,,"Clay Center, Kansas",,,,,
Clyde Republican,,http://kspress.com/viewRecord.php?recid=1416,,,,,,,,,
Coffey County Republican,,http://kspress.com/viewRecord.php?recid=95,,,,,,,,,
Coffeyville Journal,,http://kspress.com/viewRecord.php?recid=1218,,,,"Coffeyville, Kansas",,,,,
Colby Free Press,http://www.nwkansas.com/,http://kspress.com/viewRecord.php?recid=1848,https://en.wikipedia.org/wiki/Colby_Free_Press,,,"Colby, Kansas",,,,,
Collegian,,http://kspress.com/viewRecord.php?recid=1346,,,,,,,,,
Collegio,http://psucollegio.com/,http://kspress.com/viewRecord.php?recid=1463,,,,Pittsburg State University,,,,,
Columbus News Report,,http://kspress.com/viewRecord.php?recid=3396,,,,,,,,,
Community Voice,,http://kspress.com/viewRecord.php?recid=1380,,,,,,,,,
Concordia Blade-Empire,http://www.bladeempire.com/,http://kspress.com/viewRecord.php?recid=100,https://en.wikipedia.org/wiki/Concordia_Blade-Empire,,,"Concordia, Kansas",,,,,
Conquistador,,http://kspress.com/viewRecord.php?recid=467,,,,,,,,,
Conway Springs Star and Argonia Argosy,,http://kspress.com/viewRecord.php?recid=39,,,,,,,,,
Council Grove Republican,,http://kspress.com/viewRecord.php?recid=2976,,,,,,,,,
Courier-Tribune ,http://couriertribuneonline.com,,,,,"Seneca, Kansas",,,,,
Courtland Journal,,http://kspress.com/viewRecord.php?recid=533,,,,,,,,,
Cowley Press,,http://kspress.com/viewRecord.php?recid=464,,,,,,,,,
Crusader,,http://kspress.com/viewRecord.php?recid=1757,,,,,,,,,
Cunningham Courier,,http://kspress.com/viewRecord.php?recid=503,,,,,,,,,
Daily Union,http://dailyu.com,,,,,"Junction City, Kansas",,,,,
"De Soto Explorer - Lawrence,KS",http://www.desotoexplorer.com,,https://en.wikipedia.org/wiki/The_De_Soto_Explorer,Phone: (913) 585-1616,Fax: (913) 542-3290,"Address: 645 New Hampshire Street Lawrence, KS 66044",editor@desotoexplorer.com,https://twitter.com/desotoexplorer,https://www.facebook.com/DeSotoExplorer?ref=br_tf,http://www.desotoexplorer.com/about/contact/,http://www.desotoexplorer.com/accounts/login/?next=/submit/
Derby Informer,,http://kspress.com/viewRecord.php?recid=1859,,,,,,,,,
Derby Weekly Informer ,http://derbyinformer.com,http://kspress.com/viewRecord.php?recid=3327,,,,"Derby, Kansas",,,,,
Dighton Herald,,http://kspress.com/viewRecord.php?recid=109,,,,,,,,,
Dodge City Daily Globe,http://www.dodgeglobe.com/,http://kspress.com/viewRecord.php?recid=6,https://en.wikipedia.org/wiki/Dodge_City_Daily_Globe,,,"Dodge City, Kansas",,,,,
Dos Mundos,,http://kspress.com/viewRecord.php?recid=1621,,,,,,,,,
Downs News & Times,http://downsnews.com,,,,,"Downs, Kansas",,,,,
Downs News and Times,,http://kspress.com/viewRecord.php?recid=111,,,,,,,,,
Edwards County Sentinel,,http://kspress.com/viewRecord.php?recid=303,,,,"Kinsley, Kansas",,,,,
El Lider,,http://kspress.com/viewRecord.php?recid=3300,,,,,,,,,
Eldorado Times,http://www.butlercountytimesgazette.com/,,https://en.wikipedia.org/wiki/The_El_Dorado_Times,,,,,,,,
Elkhart Tri-State News,,http://kspress.com/viewRecord.php?recid=114,,,,,,,,,
Ellinwood Leader,,http://kspress.com/viewRecord.php?recid=115,,,,,,,,,
Ellis Review,,http://kspress.com/viewRecord.php?recid=117,,,,,,,,,
Ellsworth County Independent/Reporter,,http://kspress.com/viewRecord.php?recid=1584,,,,,,,,,
Emporia_Gazette,http://www.emporiagazette.com/,http://kspress.com/viewRecord.php?recid=2975,https://en.wikipedia.org/wiki/Emporia_Gazette,,,,,,,,
Erie Record,,http://kspress.com/viewRecord.php?recid=120,,,,,,,,,
"Eudora News - Lawrence,KS",http://www.eudoranews.com/,,,Phone: (785) 832-7154,,"Address: 645 New Hampshire Street Lawrence, KS 66044",editor@eudoranews.com,https://twitter.com/eudoranews,?,http://www.eudoranews.com/about/contact/,
Eureka Herald,http://eurekaherald.com,http://kspress.com/viewRecord.php?recid=42,,,,"Eureka, Kansas",,,,,
Fairview_Enterprise,????,http://kspress.com/viewRecord.php?recid=125,https://en.wikipedia.org/wiki/Fairview_Enterprise,,,"420 W Commercial St
Fairview, Kansas 66425
Phone (785) 467-3461",,,,,
Fort Leavenworth Lamp,http://ftleavenworthlamp.com,http://kspress.com/viewRecord.php?recid=1356,,,,"Fort Leavenworth, Kansas",,,,,
Fort Riley -The 1st Infantry Division,,http://kspress.com/viewRecord.php?recid=442,,,,,,,,,
Fort Scott Tribute,http://www.fstribune.com/,http://kspress.com/viewRecord.php?recid=1531,https://en.wikipedia.org/wiki/Fort_Scott_Tribune,,,,,,,,
Frankfort Area News,,http://kspress.com/viewRecord.php?recid=632,,,,,,,,,
Galena Sentinel-Times,,http://kspress.com/viewRecord.php?recid=256,,,,,,,,,
Garden City Telegram,http://gctelegram.com,http://kspress.com/viewRecord.php?recid=9,https://en.wikipedia.org/wiki/Garden_City_Telegram,,,"Garden City, Kansas",,,,,
